Water,Geno,Layer,Length.cm..mean,ProjArea.cm2..mean,SurfArea.cm2..mean,AvgDiam.mm..mean,RootVolume.cm3..mean,Tips.mean,Forks.mean,Crossings.mean,X0..L...0.1500000.mean,X0.1500000..L...0.3000000.mean,X0.3000000..L...0.5000000.mean,X0.5000000..L...1.0000000.mean,.L..1.0000000.mean,X0..SA...0.1500000.mean,X0.1500000..SA...0.3000000.mean,X0.3000000..SA...0.5000000.mean,X0.5000000..SA...1.0000000.mean,.SA..1.0000000.mean,X0..PA...0.1500000.mean,X0.1500000..PA...0.3000000.mean,X0.3000000..PA...0.5000000.mean,X0.5000000..PA...1.0000000.mean,.PA..1.0000000.mean,X0..V...0.1500000.mean,X0.1500000..V...0.3000000.mean,X0.3000000..V...0.5000000.mean,X0.5000000..V...1.0000000.mean,.V..1.0000000.mean,X0..T...0.1500000.mean,X0.1500000..T...0.3000000.mean,X0.3000000..T...0.5000000.mean,X0.5000000..T...1.0000000.mean,.T..1.0000000.mean,Length.cm..se,ProjArea.cm2..se,SurfArea.cm2..se,AvgDiam.mm..se,RootVolume.cm3..se,Tips.se,Forks.se,Crossings.se,X0..L...0.1500000.se,X0.1500000..L...0.3000000.se,X0.3000000..L...0.5000000.se,X0.5000000..L...1.0000000.se,.L..1.0000000.se,X0..SA...0.1500000.se,X0.1500000..SA...0.3000000.se,X0.3000000..SA...0.5000000.se,X0.5000000..SA...1.0000000.se,.SA..1.0000000.se,X0..PA...0.1500000.se,X0.1500000..PA...0.3000000.se,X0.3000000..PA...0.5000000.se,X0.5000000..PA...1.0000000.se,.PA..1.0000000.se,X0..V...0.1500000.se,X0.1500000..V...0.3000000.se,X0.3000000..V...0.5000000.se,X0.5000000..V...1.0000000.se,.V..1.0000000.se,X0..T...0.1500000.se,X0.1500000..T...0.3000000.se,X0.3000000..T...0.5000000.se,X0.5000000..T...1.0000000.se,.T..1.0000000.se,Layer2
Irrigated,OSU 124,1,527.6534,7.4512,23.40875,0.14225,0.083,2498.5,1668,374,395.31405,123.7374,7.9786,0.4509,0.05375,11.2299,7.81085,0.9149,0.0823,0.02535,3.5746,2.48625,0.2912,0.0262,0.0081,0.0282,0.04055,0.00845,0.00125,0.00095,2220.5,263,13,2,0,60.0335,0.3607,1.13315,0.00935,0.001,527.5,253,109,70.34095,7.8823,2.2413,0.1468,0.05375,1.7983,0.64355,0.2563,0.0288,0.02535,0.5724,0.20485,0.0816,0.0092,0.0081,0.0042,0.00425,0.00235,0.00045,0.00095,549.5,17,3,2,0,15
Rainfed,OSU 124,1,841.2317,13.2937,41.7633,0.15845,0.165,4432,3278.5,799.5,586.89545,219.35325,28.17675,6.0891,0.3819,17.1663,14.01605,3.33735,1.22785,0.13385,5.4642,4.46145,1.0623,0.39085,0.0426,0.0442,0.0738,0.032,0.0203,0.0038,3868,510,45.5,8,0.5,91.3261,1.1234,3.5293,0.00385,0.01,726,614.5,153.5,79.64735,7.97675,3.13545,0.4086,0.0355,2.0965,0.39445,0.37155,0.08285,0.01475,0.6673,0.12555,0.1183,0.02635,0.0047,0.005,0.0014,0.0036,0.0015,5.00E-04,692,38,4.5,1,0.5,15
Irrigated,OSU 127,1,359.8628,5.2378,16.455,0.14595,0.06,1886.5,1010,197.5,252.43495,99.25125,7.28375,0.83725,0.01975,7.0003,6.25695,0.8782,0.1577,0.0064,2.2283,1.99165,0.27955,0.0502,0.00205,0.01735,0.0324,0.00855,0.0024,0.00015,1677.5,194,13.5,1.5,0,64.9204,0.8739,2.7453,0.00205,0.009,288.5,200,50.5,54.13905,6.40465,3.66995,0.65715,0.01975,1.2839,0.48255,0.4658,0.1202,0.0064,0.4087,0.15365,0.14825,0.0383,0.00205,0.00275,0.003,0.00475,0.0018,0.00015,279.5,4,3.5,1.5,0,15
Rainfed,OSU 127,1,404.0381,5.79195,18.196,0.1422,0.065,1952.5,1052.5,252.5,298.29625,95.19955,8.7134,1.6767,0.08775,8.33265,6.14055,1.0366,0.29615,0.02925,2.65235,1.9546,0.32995,0.0943,0.0093,0.0207,0.0327,0.01,0.0042,8.00E-04,1757,188.5,5.5,1.5,0,158.4698,2.37225,7.4526,0.0029,0.028,559.5,464.5,151.5,115.34445,35.52425,5.7888,1.6601,0.08775,3.30625,2.15455,0.7189,0.29345,0.02925,1.05245,0.6858,0.22885,0.0934,0.0093,0.0084,0.0106,0.0072,0.0042,8.00E-04,496,58.5,3.5,1.5,0,15
Irrigated,OSU 137,1,451.232,6.3941,20.08765,0.1442,0.0715,2250,1431,293.5,332.30965,110.4766,7.999,0.3845,0,9.2072,7.09035,0.9175,0.07085,0,2.93075,2.25695,0.29205,0.0225,0,0.02255,0.0375,0.0085,0.00105,0,2014.5,223.5,11,1,0,122.9891,1.3629,4.28175,0.0091,0.0105,734,578,141.5,117.12485,6.1554,0.5599,0.2382,0,3.1895,0.23995,0.051,0.04465,0,1.01525,0.07635,0.01625,0.0142,0,0.00775,0.0004,3.00E-04,0.00065,0,707.5,27.5,2,1,0,15
Rainfed,OSU 137,1,470.0222,7.1934,22.5988,0.153,0.086,2127,1568,382,326.6847,128.5925,13.9464,0.4646,0,9.3547,8.6534,1.5828,0.0947,0,2.9777,2.7544,0.5038,0.0301,0,0.0237,0.0483,0.0145,0.0016,0,1884,225,17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
Irrigated,OSU 144,1,804.8736,12.7162,39.94915,0.1578,0.1575,4049.5,3260,676.5,540.50535,244.51485,17.3946,2.1889,0.0541,16.51285,15.21855,2.0498,0.4005,0.01795,5.2562,4.8442,0.65245,0.12745,0.0057,0.0439,0.0778,0.01955,0.00595,5.00E-04,3371.5,639,35,4,0,39.5262,0.9405,2.95475,0.0039,0.0155,375.5,155,62.5,0.60835,43.63715,3.2624,1.466,0.0541,0.82475,2.58615,0.4324,0.2723,0.01795,0.2625,0.8232,0.13765,0.08665,0.0057,0.0037,0.0125,0.00465,0.00415,5.00E-04,409.5,43,7,2,0,15
Rainfed,OSU 144,1,541.5123,8.15935,25.63335,0.16405,0.0985,2749.5,2013.5,498,382.17185,144.20345,13.35685,1.4712,0.2612,10.7857,9.2939,1.5898,0.2724,0.15455,3.4332,2.95835,0.50605,0.0867,0.0492,0.027,0.0492,0.0153,0.0041,0.00785,2448,286,14.5,1,0,289.7577,3.40105,10.68485,0.02495,0.0275,1659.5,1164.5,334,251.76465,41.18225,2.40315,0.5573,0.2612,7.1154,2.2643,0.3061,0.1083,0.15455,2.2649,0.72075,0.09745,0.0345,0.0492,0.0178,0.0099,0.0031,0.0017,0.00785,1515,142,3.5,1,0,15
Irrigated,OSU 15,1,287.80325,4.31275,13.54885,0.1569,0.0515,1549.5,644,115,197.7483,76.34515,12.3334,1.35135,0,5.3995,4.98635,1.40965,0.2409,0,1.7187,1.5872,0.4487,0.0767,0,0.0132,0.02665,0.01305,0.00345,0,1370,155,21,3.5,0,105.18375,1.09235,3.43165,0.0194,0.0065,661.5,423,94,101.8718,11.45995,7.3607,0.81005,0,2.9887,0.52485,0.82505,0.1407,0,0.9513,0.1671,0.2626,0.0448,0,0.0076,0.00175,0.00745,0.00195,0,627,49,12,2.5,0,15
Rainfed,OSU 15,1,803.74265,13.4404,42.2243,0.1695,0.1775,4509.5,3349.5,740.5,541.726,207.4089,34.62845,19.6686,0.0023,15.4491,13.41045,4.17105,3.6928,0.00075,4.9176,4.2687,1.3277,1.17545,0.00025,0.0389,0.0714,0.04065,0.05565,0,3880.5,565,56.5,7.5,0,169.98365,2.0154,6.3315,0.0108,0.0155,765.5,1465.5,364.5,120.9548,64.8352,1.60855,14.3592,0.0023,3.5295,4.15215,0.25505,2.6799,0.00075,1.1235,1.3217,0.0812,0.85305,0.00025,0.0091,0.0218,0.00305,0.03985,0,657.5,113,5.5,0.5,0,15
